Symbol,Shear modulus,ki(compressibility),Melting point (K),Boiling point (k),Phi(V),Nws(density),Vm,a.cf,R.cf,Hform(kJ/mol),DH(Ni in X)(kJ/mol),DH(X in Ni)(kJ/mol),Phi(V),Nws(density),Vm,a.cf,R.cf,Hform(kJ/mol),DH(Al in X)(kJ/mol),DH(X in Al(kJ/mol),Ni3Al-X
Li,0.0431,0.086206897,453.69,1620,0.05,4.66,4.9,0.1,0.4,-5.245717,-22.08737,4.951998,2.85,0.94,13,0.14,0,-4.932762,-12.448926,-14.828394,-43.717383
Be,1.46,0.00997009,1551,3243,5.05,4.66,490,4.9,0.1,-5.4245717,-26.928655,-22.08737,5.05,4.66,4.9,0.1,0.4,0.066386,0.228901,0.142269,-38.8970897
Na,1.46,0.00997009,370.96,1156.1,2.7,0.55,23.78,0.14,0,35.324432,91.815776,215.788976,2.7,0.55,23.78,0.14,0,20.234528,42.532995,75.776381,22.020056
Mg,0.035,0.146842878,922,1363,3.45,1.6,14,0.1,0.4,-5.882073,-17.992898,-29.704609,3.45,1.6,14,0.1,0.4,-2.485603,-5.979547,-7.483194,-41.90658
Al,0.177,0.028248588,933.52,2740,4.2,2.7,10,0.07,1.9,-33.538904,-114.435417,-150.960908,,,,,,,,,-67.077808
Si,0.271,0.013850416,1683,2628,4.7,3.38,8.6,0.04,2.1,-26.11579,-123.975179,-147.900993,4.7,3.38,8.6,0.04,2.1,13.476678,-9.937826,-8.987185,-46.178016
K,0.405,0.010111223,336.8,1047,2.25,0.27,45.63,0.14,0,61.11089,112.764656,409.239319,2.25,0.27,45.63,0.14,0,33.080651,62.151031,170.981313,60.652637
Ca,0.013,0.314465409,1112,1757,2.55,0.75,26.2,0.1,0.4,-17.538949,-39.815815,-99.822211,2.55,0.75,26.2,0.1,0.4,-13.862441,-28.201392,-53.596704,-64.940294
Sc,0.075,0.065789474,1814,3104,3.25,2.05,15.03,0.07,0.7,-42.383291,-119.711531,-207.210941,3.25,2.05,15.03,0.07,0.7,-68.220803,-159.347597,-209.082735,-144.142998
Ti,0.319,0.017452007,1933,3560,3.8,3.51,10.58,0.04,1,-36.275652,-117.939131,-161.542107,3.8,3.51,10.58,0.04,1,-61.014863,-158.935458,-165.023037,-130.829419
V,0.401,0.009514748,2160,3650,4.25,4.41,8.36,0.04,1,-17.871557,-66.224711,-77.528545,4.25,4.41,8.36,0.04,1,-40.301571,-114.57666,-101.679564,-91.712032
Cr,0.474,0.006176652,2130,2945,4.65,5.18,7.23,0.04,1,-6.4396,-25.795966,-27.412462,4.65,5.18,7.23,0.04,1,-30.279962,-91.111302,-73.394658,-70.258466
Fe,1.19,0.005254861,1808,3023,4.93,5.55,7.09,0.04,1,-1.500324,-6.023245,-6.317793,4.93,5.55,7.09,0.04,1,-32.115644,-97.3664,-77.417642,-67.154872
Co,0.831,0.005941771,1768,3143,5.1,5.36,6.7,0.04,1,-0.20984,-0.868234,-0.876982,5.1,5.36,6.7,0.04,1,-43.255284,-134.069003,-102.654561,-77.004028
Cu,0.765,0.005367687,1356.6,2840,4.45,3.18,7.12,0.07,0.3,3.273577,13.637286,14.344497,4.45,3.18,7.12,0.07,0.3,-15.632777,-47.16722,-37.609158,-45.898104
Zn,0.46,0.007639419,692.73,1180,4.1,2.3,9.17,0.1,1.4,-15.21062,-56.987401,-70.957088,4.1,2.3,9.17,0.1,1.4,0.953737,2.625121,2.477777,-47.795787
Ge,0.379,0.016722408,1210.6,3103,4.55,2.57,9.87,0.04,2.1,-17.239651,-77.657636,-101.55461,4.55,2.57,9.87,0.04,2.1,9.52754,-7.993966,-7.924534,-41.251015
Rb,0.4,0.012953368,312.2,961,2.1,0.22,56.07,0.14,0,63.687027,107.020808,445.58029,2.1,0.22,56.07,0.14,0,32.416301,59.616022,188.155406,62.564424
Sr,0.0102,0.318471338,1042,1657,2.4,0.59,33.93,0.1,0.4,-10.725813,-21.326253,-63.524489,2.4,0.59,33.93,0.1,0.4,-9.477649,-18.415468,-41.581996,-53.742366
Y,0.0533,0.086206897,1795,3611,3.2,1.77,19.9,0.07,0.7,-36.956246,-89.043145,-185.840308,3.2,1.77,19.9,0.07,0.7,-68.70516,-149.597745,-236.679385,-139.20031
Zr,0.263,0.027322404,2125,4650,3.45,2.8,14,0.04,1,-54.917459,-152.755591,-252.185347,3.45,2.8,14,0.04,1,-83.168793,-197.534868,-247.207963,-171.625156
Nb,0.348,0.012004802,2741,5015,4.05,4.41,10.8,0.04,1,-31.88846,-101.505265,-140.953256,4.05,4.41,10.8,0.04,1,-44.809042,-116.303347,-122.426298,-110.236406
Mo,0.382,0.005875441,2890,4885,4.65,5.55,9.4,0.04,1,-7.680233,-26.073625,-33.005832,4.65,5.55,9.4,0.04,1,-24.800146,-67.841239,-65.099703,-66.019283
Ru,1.18,0.003669725,2583,4173,5.4,6.13,8.2,0.04,1,0.5001,1.800539,2.08089,5.4,6.13,8.2,0.04,1,-48.411139,-139.561545,-122.266741,-81.449943
Rh,1.63,0.002873563,2239,4000,5.4,5.45,8.3,0.04,1,-0.952881,-3.40492,-3.967007,5.4,5.45,8.3,0.04,1,-64.299937,-184.630623,-163.063138,-98.791722
Pd,1.5,0.003696858,1825,3413,5.45,4.66,8.9,0.04,1,-0.066839,-0.228375,-0.278748,5.45,4.66,8.9,0.04,1,-84.787387,-238.284524,-220.473218,-118.39313
Ag,0.521,0.005530973,1235.08,2485,4.35,2.52,10.25,0.07,0.15,16.015176,53.304147,71.484896,4.35,2.52,10.25,0.07,0.15,-8.889208,-23.519615,-23.909994,-26.412936
Cd,0.292,0.009930487,594.1,1038,4.05,1.91,13,0.1,1.4,-5.91619,-17.914141,-28.148955,4.05,1.91,13,0.1,1.4,5.084157,12.521982,14.915414,-34.370937
Cs,0.246,0.021394951,301.55,951.6,1.95,0.17,69.23,0.14,0,68.368466,105.526388,505.663185,1.95,0.17,69.23,0.14,0,33.33627,60.314558,219.087889,68.165832
Ba,0.0066,0.492610837,1002,1910,2.32,0.53,38.1,0.1,0.5,-12.124797,-22.815298,-73.419853,2.32,0.53,38.1,0.1,0.5,-8.889685,-16.979926,-41.420861,-54.553386
Hf,0.05,0.097087379,2503,5470,3.6,3.05,13.45,0.04,1,-47.612476,-134.938579,-216.897743,3.6,3.05,13.45,0.04,1,-75.317916,-181.5091,-221.163401,-156.469296
Ta,0.54,0.009182736,3269,5698,4.05,4.33,10.81,0.04,1,-31.237286,-99.376622,-138.08253,4.05,4.33,10.81,0.04,1,-46.205299,-119.891847,-126.281611,-110.981489
W,0.7,0.004997501,3680,5930,4.8,5.93,9.55,0.04,1,-3.331179,-11.142264,-14.254317,4.8,5.93,9.55,0.04,1,-20.556163,-56.044136,-54.349943,-57.426246
Re,1.56,0.003094059,3453,5900,5.2,6.33,8.85,0.04,1,2.414829,8.349675,10.153189,5.2,6.33,8.85,0.04,1,-30.299463,-85.041177,-78.389538,-61.423538
Os,1.82,0.002690342,3327,5300,5.4,6.33,8.45,0.04,1,1.3528,4.780486,5.636557,5.4,6.33,8.45,0.04,1,-43.827239,-125.117062,-111.828975,-76.013343
Ir,2.14,0.002164502,2683,4403,5.55,6.13,8.52,0.04,1,-1.578825,-5.52261,-6.54749,5.55,6.13,8.52,0.04,1,-61.093219,-174.24,-156.59369,-96.210948
Pt,2.14,0.002610966,2045,4100,5.65,5.64,9.1,0.04,1,-5.074512,-16.992251,-21.04986,5.65,5.64,9.1,0.04,1,-82.880335,-232.053528,-217.912648,-121.493751
Au,0.622,0.003593245,1337.58,3080,5.15,3.87,10.2,0.07,0.3,7.801667,24.81848,33.175134,5.15,3.87,10.2,0.07,0.3,-37.366485,-99.514156,-100.836628,-63.103722
Pb,0.281,0.005773672,600.65,2013,4.1,1.52,18.28,0.04,2.1,1.974497,4.658947,9.188457,4.1,1.52,18.28,0.04,2.1,14.807381,33.69207,50.370758,-16.757026
B,0.055,0.023310023,2348,4273,5.3,5.36,4.7,0.07,1.9,-20.601505,-145.250581,-115.82985,5.3,5.36,4.7,0.07,1.9,14.827502,-0.610993,-0.369347,-39.312907
Ce,0.14,0.045454545,1071,3633,4.1,1.52,18.28,0.04,2.1,1.974497,4.658947,9.188457,3.18,1.69,21.62,0.07,0.7,-68.42254,-146.419014,-244.813073,-99.986947
La,0.14,0.035714286,1193,3737,3.18,1.69,21.62,0.07,0.7,-34.896233,-80.437853,-177.419617,3.17,1.64,22.55,0.07,0.7,-67.728262,-143.745557,-247.186906,-136.163399
Pr,0.16,0.034482759,1204,3563,3.17,1.64,22.55,0.07,0.7,-32.811013,-73.982522,-167.827918,3.19,1.73,20.79,0.07,0.7,-68.646973,-148.082372,-241.216135,-134.99689
Pm,0.18,0.03030303,1373,3273,3.19,1.73,20.79,0.07,0.7,-36.045822,-84.828661,-182.284461,3.19,1.77,20.25,0.07,0.7,-69.664871,-151.089432,-241.834046,-139.249597
Sm,0.2,0.026315789,1345,2076,3.19,1.77,20.25,0.07,0.7,-38.487035,-91.889042,-194.022064,3.2,1.77,20.01,0.07,0.7,-68.78512,-149.597745,-237.550768,-140.811059
Dy,0.25,0.024390244,1685,2840,3.2,1.77,20.01,0.07,0.7,-37.069004,-89.043145,-186.524518,3.21,1.82,19,0.07,0.7,-68.936699,-151.660779,-232.653192,-139.544607
Gd,0.22,0.026315789,1586,3523,3.21,1.82,19,0.07,0.7,-38.35577,-94.781309,-191.806129,3.2,1.77,19.9,0.07,0.7,-68.70516,-149.597745,-236.679385,-140.599834
Tb,0.22,0.025839793,1629,3503,3.2,1.77,19.9,0.07,0.7,-36.956246,-89.043145,-185.840308,3.21,1.82,19.32,0.07,0.7,-69.191277,-151.660779,-235.25816,-139.686427
Ho,0.26,0.025,1747,2973,3.21,1.82,19.32,0.07,0.7,-38.715985,-94.781309,-193.953742,3.22,1.82,18.76,0.07,0.7,-68.056585,-150.191509,-228.454967,-140.311474
Er,0.28,0.022727273,1770,3141,3.22,1.82,18.76,0.07,0.7,-36.963546,-91.948317,-184.502838,3.22,1.86,18.45,0.07,0.7,-69.003632,-152.860213,-229.945743,-139.506082
